Filename,Date,Time,Location,Latitude,Longitude,Elevation,Foreground Species,Background Species,Remarks
1-2016-01-05-10-30-01,2016-01-05,10:30:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-10-35-02,2016-01-05,10:35:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-10-40-01,2016-01-05,10:40:00 AM,DeKUWC,-0.389206,36.961205,1773,YWGR,GBCA,Engine noise in the background
1-2016-01-05-10-45-01,2016-01-05,10:45:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-10-50-01,2016-01-05,10:50:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-10-55-01,2016-01-05,10:55:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-11-00-02,2016-01-05,11:00:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-11-05-01,2016-01-05,11:05:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-11-10-01,2016-01-05,11:10:00 AM,DeKUWC,-0.389206,36.961205,1773,TRBO,HATU,
1-2016-01-05-11-15-01,2016-01-05,11:15:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-11-20-02,2016-01-05,11:20:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-11-25-01,2016-01-05,11:25:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-11-30-01,2016-01-05,11:30:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-11-35-01,2016-01-05,11:35:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-11-40-01,2016-01-05,11:40:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-11-45-02,2016-01-05,11:45:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-11-50-01,2016-01-05,11:50:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-11-55-01,2016-01-05,11:55:00 AM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-12-00-01,2016-01-05,12:00:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-12-05-01,2016-01-05,12:05:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-12-10-02,2016-01-05,12:10:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-12-15-01,2016-01-05,12:15:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-12-20-01,2016-01-05,12:20:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-12-25-01,2016-01-05,12:25:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-12-30-01,2016-01-05,12:30:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-12-35-01,2016-01-05,12:35:00 PM,DeKUWC,-0.389206,36.961205,1773,GBCA,,Sound of engine; crow and insect in the background
1-2016-01-05-12-40-01,2016-01-05,12:40:00 PM,DeKUWC,-0.389206,36.961205,1773,GBCA,TADO;HATU,Engine noise in the background
1-2016-01-05-12-45-01,2016-01-05,12:45:00 PM,DeKUWC,-0.389206,36.961205,1773,,GBCA;OLTH;TADO,Insect in the foreground
1-2016-01-05-12-50-01,2016-01-05,12:50:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-12-55-01,2016-01-05,12:55:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-13-00-01,2016-01-05,01:00:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-13-05-01,2016-01-05,01:05:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-13-10-01,2016-01-05,01:10:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-13-15-01,2016-01-05,01:15:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-13-20-01,2016-01-05,01:20:00 PM,DeKUWC,-0.389206,36.961205,1773,COBU,YRTI,
1-2016-01-05-13-25-01,2016-01-05,01:25:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-13-30-01,2016-01-05,01:30:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-13-35-02,2016-01-05,01:35:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-13-40-01,2016-01-05,01:40:00 PM,DeKUWC,-0.389206,36.961205,1773,GBCA,TADO,
1-2016-01-05-13-45-01,2016-01-05,01:45:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-13-50-01,2016-01-05,01:50:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-13-55-01,2016-01-05,01:55:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-14-00-02,2016-01-05,02:00:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-14-05-01,2016-01-05,02:05:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-14-10-01,2016-01-05,02:10:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-14-15-01,2016-01-05,02:15:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-14-20-02,2016-01-05,02:20:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-14-25-01,2016-01-05,02:25:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-14-30-01,2016-01-05,02:30:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-14-35-01,2016-01-05,02:35:00 PM,DeKUWC,-0.389206,36.961205,1773,,GBCA;TADO;COBU;BBPU,
1-2016-01-05-14-40-01,2016-01-05,02:40:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
1-2016-01-05-14-45-02,2016-01-05,02:45:00 PM,DeKUWC,-0.389206,36.961205,1773,,,
